SampleID Chloroflexi__class_ Gloeobacteria Deltaproteobacteria Acidobacteria Fusobacteriia Betaproteobacteria Chlorobia Synergistia Thermodesulfobacteria__class_ Ktedonobacteria Methanomicrobia Gemmatimonadetes__class_ Thermoplasmata Deferribacteres__class_ Thermococci Gammaproteobacteria Archaeoglobi Bacteroidia Thermotogae__class_ Thermoprotei Verrucomicrobiae Mollicutes Spartobacteria Bacilli Spirochaetia Thermomicrobia__class_ Dictyoglomia Negativicutes Clostridia Elusimicrobia__class_ Alphaproteobacteria Aquificae__class_ Methanobacteria Erysipelotrichi Chlamydiia unclassified Cytophagia Sphingobacteriia Zetaproteobacteria Deinococci Nitrospira__class_ Dehalococcoidetes Epsilonproteobacteria Anaerolineae Opitutae Halobacteria Chrysiogenetes__class_ Methanopyri Fibrobacteria Actinobacteria__class_ Solibacteres Flavobacteriia Planctomycetia Methanococci
x30MCx1266 0 0 6289982.8418670995 0 0 70491187.0209244 0 0 0 0 0 0 0 0 0 7482910.622221201 0 20697730781.0638 0 0 110183147.712706 0 0 14640477.3043458 0 0 0 3251595785.3051896 10780163007.1199 0 0 0 0 13339101.5439595 0 48026621749.1761 0 0 0 0 0 0 0 0 0 0 0 0 0 1644613617.18818 0 406788373.10075 0 0
x13MCx3413 0 0 102917507.483858 0 0 433793.49835135 0 0 0 0 0 0 0 0 0 161154284.637527 0 9716106776.07354 0 0 27979680.643662103 0 0 58236777.1536688 0 0 0 467520942.848168 5011399389.70397 0 0 0 0 80794039.067939 0 4999795413.623079 0 0 0 0 0 0 0 0 0 0 0 0 0 160178249.266236 0 0 0 0
x30MCx2605 0 0 613273665.580144 0 0 187940453.130042 0 0 0 0 0 0 0 0 0 2168960.79780776 0 5971799764.6041 0 0 1915517728.58392 0 0 20279783.4595025 0 0 0 1227740259.59908 2653072847.87845 0 0 0 0 35679405.12393761 0 32097908606.5576 0 0 0 0 0 0 0 0 0 0 0 0 0 113328201.685455 0 0 0 0
x14MCx3258 0 0 106821279.032232 0 0 253009181.707815 0 0 0 0 0 0 0 0 0 359179772.745942 0 63855591645.488 0 0 647651450.1324769 0 0 201062590.178435 0 0 0 4137182714.5184 22097689623.8017 0 0 0 0 28521823.7416011 0 98230679238.0603 0 0 0 0 0 0 0 0 0 0 0 0 0 296063037.31776 0 963018231.2753508 0 0
x10MCx2444 0 0 1031448734.98091 0 0 3228604803.81838 0 0 0 0 0 0 0 0 0 23651202998.0566 0 55071185470.3107 0 0 0 0 0 129269991.809194 0 0 0 2406894461.5883 34162089639.1127 0 0 0 0 68213779.23488499 0 97865300502.0783 0 0 0 0 0 0 0 0 0 0 0 0 0 320572228.010048 0 0 0 0
x30MCx2082 0 0 143368285.14546898 0 0 786573503.903243 0 0 0 0 0 0 0 0 0 853269037.461838 0 47104615271.9401 0 0 0 0 0 43704552.884738296 0 0 0 0 10191836663.9077 0 0 0 0 41860936.5099478 0 31999757865.2599 0 0 0 0 0 0 0 0 0 0 0 0 0 501680549.987095 0 0 0 0
x30MCx3249 0 0 58236585.6258417 0 0 374796349.949551 0 0 0 0 0 0 0 0 0 41860934.9191339 0 11871696074.2556 0 0 0 0 0 60080201.9305704 0 0 0 0 20177079079.0405 0 0 0 0 296388432.989619 0 72476786411.584 0 0 0 0 0 0 5856192.96796173 0 0 0 0 0 0 1989912680.90981 0 749158907.8274009 0 0
x20MCx3389 0 0 285218405.326751 0 0 533672917.343324 0 0 0 0 0 0 0 0 0 13556007.8577353 0 46630714965.478 0 0 0 0 0 582149201.442585 0 0 0 3465783192.9400396 8091526866.25078 0 0 0 0 232512646.775876 0 27769970112.8537 0 0 0 0 0 0 0 0 0 0 0 0 0 111376160.559153 0 538553080.172109 0 0
x20MCx1369 0 0 16050322.5997558 0 0 98145553.7349935 0 0 0 0 0 0 0 0 0 196616451.847009 0 29073532667.5726 0 0 6398439.41476753 0 0 24834620.779351898 0 0 0 2163865451.5738397 1549723715.88183 0 0 0 0 1952066.26213247 0 14735063731.5813 0 0 0 0 0 0 0 0 0 0 0 0 0 281965126.752468 0 0 0 0
x14MCx2510 0 0 925061935.261715 0 0 68756068.8107769 0 0 0 0 0 0 0 0 0 242056065.592514 0 3807177526.29516 0 0 0 0 0 154430034.679095 0 0 0 0 27055296180.9246 0 0 0 527816698.58367693 45005944.0953824 0 58031315004.9344 0 0 0 0 0 0 0 0 0 0 0 0 0 100531349.822697 0 0 0 0
x30MCx2480 0 0 428803637.825477 0 0 2168961.24342679 0 0 0 0 0 0 0 0 0 8784293.03587851 0 6051944109.47161 0 0 0 0 0 66478662.1110312 0 0 0 3397894683.95241 19439532040.337 0 0 0 0 93916021.84038007 0 39621282618.1746 0 0 0 0 0 0 0 0 0 0 0 0 0 512850886.008265 0 0 0 0
x20MCx2346 0 0 1169503646.85309 0 0 161262233.20387 0 0 0 0 0 0 0 0 0 33185099.7716102 0 42312628929.38 0 0 1952064.69244766 0 0 22231847.8862094 0 0 0 4206048723.99389 17383352982.3233 0 0 0 11170147.9623394 93590657.1990182 0 48110044169.8726 0 0 0 0 0 0 0 0 0 0 0 0 0 1287928904.86158 0 0 0 0
x10MCx3391 0 0 552000515.617278 0 0 681812817.620005 0 34920268.3750026 0 0 0 0 0 0 0 1036654799.36848 0 61950291265.8696 0 0 19303750.84084 0 0 57911252.522519894 0 0 0 14269701344.8796 7504604259.47262 0 0 0 0 25268392.9545827 0 36845980193.4341 0 0 0 0 0 0 0 0 0 0 0 0 0 533455901.04546 0 0 0 0
x30MCx3128 0 0 237609566.304444 0 0 93048383.3360167 0 0 0 0 0 0 0 0 0 15804018479.2242 0 62797898431.8809 0 0 2322413903.4275 0 0 27654239.802662294 0 0 0 0 11627577581.0269 0 0 0 35354047.7477173 54549343.610741705 0 84344238470.1286 0 0 0 0 0 0 0 0 0 0 0 0 0 943714489.265755 0 1367095478.24455 0 0
x30MCx2116 0 0 929724922.938635 0 0 264287838.23649305 0 0 0 0 0 0 0 0 0 324476492.410171 0 20146281256.1982 0 0 7960735762.654079 0 0 75805169.851173 0 0 0 1079600094.23237 10174051515.8624 0 0 0 216462258.974165 53898668.692464896 0 78006230977.4955 0 0 0 0 0 0 0 0 0 0 0 0 0 92506165.7840494 0 482702161.670345 0 0
x13MCx2331 0 0 0 0 0 3470335.07778727 0 0 0 0 0 0 0 0 0 253659804.592013 0 55710698827.3444 0 0 7632459763.7372 0 0 142392186.160459 0 0 0 23641657.7174258 24521279211.6737 0 0 0 0 82095114.1839051 0 56543687693.9845 0 0 0 0 0 0 0 0 0 0 0 0 0 2470336335.5286303 0 0 0 0
x10MCx2332 0 0 1125256332.31593 0 0 0 0 0 0 0 0 0 0 0 0 2269599510.66961 0 74343373764.9914 0 0 10457639564.8829 0 0 28088029.112358 0 0 0 0 13408617789.5021 0 0 0 0 329248094.151038 0 19594816417.5185 0 0 0 0 0 0 0 0 0 0 0 0 0 536383752.85607195 0 0 0 0
x20MCx2465 0 0 297364401.75312203 0 0 1626177682.08901 0 0 0 0 0 0 0 0 0 132523449.650735 0 41963843141.4912 0 0 0 0 0 153020120.668729 0 0 0 5313951.7454059 45314669284.9514 0 0 0 0 11820831.433658 0 36936085654.3736 0 0 0 0 0 0 0 0 0 0 0 0 0 955209938.235412 0 1427500955.60771 0 0
x14MCx1583 0 0 406354449.702623 0 0 38607468.399822205 0 0 0 0 0 0 0 0 0 9218075.32018227 0 23148539191.9867 0 0 384556412.769016 0 0 595921457.4635481 0 0 0 3029818685.8265 39185821290.2049 0 0 0 0 110616903.84218702 0 92984569369.7426 0 0 0 0 0 0 0 0 0 0 0 0 0 656435410.741921 0 0 0 0
x20MCx2299 0 0 22774099.633924898 0 0 27654263.841194604 0 0 0 0 0 0 0 0 0 32642876.1419591 0 20943821160.0119 0 0 0 0 0 17460143.0526758 0 0 0 36547007.5077748 1613707631.20383 0 0 0 0 82095206.7756247 0 17238149805.2918 0 0 0 0 0 0 0 0 0 0 0 0 0 41101827.4345598 0 88276748.10483292 0 0
x10MCx1225 0 0 743193935.565711 0 0 4325013475.017679 0 0 0 0 0 0 0 0 0 9651869.29306119 0 50459647320.2151 0 0 3048472425.03315 0 0 6398430.20551247 0 0 0 13440824454.4204 34987809291.4076 0 0 0 0 132414970.863233 0 66154888166.3677 0 0 0 0 0 0 0 0 0 0 0 0 0 1110290312.61079 0 0 0 0
x12MCx2291 0 0 460361672.03911394 0 0 650254083.7565429 0 0 0 0 0 0 0 0 0 243140369.54339105 0 35823620995.2133 0 0 4415459476.342171 0 0 981345764.495157 0 0 0 164949376.483273 30181723321.2056 0 0 0 0 114195722.180727 0 63713946962.2341 0 0 0 0 0 0 0 0 0 0 0 0 0 751002256.506682 0 0 0 0
x10MCx3300 0 0 784405587.458584 0 195857388.49028105 130680040.493239 0 0 0 0 0 0 0 0 0 88059911.1041574 0 25142297550.0672 0 0 0 0 0 143476924.126601 0 0 0 7699819.81329455 4287389809.84207 0 0 0 0 58453561.681207895 0 13377732012.5178 0 0 0 0 0 0 0 0 0 0 0 0 0 228391838.40561 0 0 0 0
x20MCx1703 0 0 411343230.480835 0 0 2168959.82325777 0 4337919.64651553 0 0 0 0 0 0 0 76022041.8051847 0 23984140829.602 0 0 76130489.79634759 0 0 13772894.8776868 0 0 0 2384988221.6542397 9867791163.90237 0 0 0 0 57368987.325167894 0 15017444024.2721 0 0 0 0 0 0 0 0 0 0 0 0 0 309076774.814232 0 0 0 0
x20MCx2617 0 0 134692348.136298 0 0 260383516.80777 0 0 0 0 0 0 0 0 0 4771709.59581087 0 10905200041.4989 0 0 778222455.898609 0 0 10302554.8091371 0 0 0 1332499904.63018 7240960863.69763 0 0 0 2819646.57934279 5097053.43188888 0 27815162817.5444 0 0 0 0 0 0 759135.617515365 0 0 0 0 0 0 385532445.752446 0 0 0 0
x30MCx3369 0 0 61056216.4908537 0 0 470447366.14089406 0 0 0 0 0 0 0 0 0 31124572.1720693 0 47966327604.7453 0 0 35679387.611884296 0 0 27220444.6522278 0 0 0 2822141956.91205 12811177560.3864 0 0 0 0 760979522.4090941 0 42751172374.1437 0 0 0 0 0 0 0 0 0 0 0 0 0 265046879.402569 0 8675838.93298098 0 0
x11MCx1752 0 0 311462747.828117 0 4380758251.5727 459602759.504025 0 88927386.2183342 0 0 0 0 0 0 0 2018543219.1242099 0 42369019371.5975 0 0 0 0 0 34703370.2315451 0 0 0 2240427892.54215 6801209877.1909895 0 0 0 0 213534174.955976 0 23409158389.6887 0 0 0 0 0 0 0 0 0 0 0 0 0 25593735.5457645 0 0 0 0
x13MCx2240 0 0 438997563.630412 0 0 0 0 0 0 0 0 0 0 0 0 4913020411.350929 0 55069142744.2139 0 0 4714994336.45242 0 0 23750115.2260524 0 0 0 0 12991746820.7096 0 0 0 13772897.870815802 189241785.705304 0 78580346993.8143 0 0 0 0 0 0 0 0 0 0 0 0 0 625961941.026368 0 0 0 0
x10MCx3074 0 0 163539633.369939 0 0 523044861.898685 0 0 0 0 0 0 0 0 0 287170390.692042 0 9714991668.797009 0 0 1084480.32738686 0 0 16158756.8780643 0 0 0 13013763.9286424 2269600429.15523 0 0 0 0 61815378.661051296 0 22247137884.0469 0 0 0 433792.1309547461 0 0 0 0 0 0 0 0 0 81227576.5212762 0 104652351.592832 0 0
x30MCx1139 0 0 7916743.07354893 0 0 69190165.49211259 0 0 0 0 0 0 0 0 0 45114590.6657035 0 3456363267.08326 0 0 26569891.137253303 0 0 19846081.9514994 0 0 0 225789850.399026 3090132563.53018 0 0 0 7374500.39727846 24292471.896917302 0 12361397842.4028 0 0 0 0 0 0 0 0 0 0 0 0 0 32209214.9704662 0 0 0 0
x30MCx2954 0 0 50536761.818000205 0 0 109207122.641043 0 0 0 0 0 0 0 0 0 311137273.93957597 0 4239014905.45492 0 0 688970059.720505 0 0 607742517.656809 0 0 0 665653742.572715 2853808770.90274 0 0 0 0 3036543.62854937 0 52214343724.787 0 0 0 0 0 0 1192927.85407297 0 0 0 0 0 0 657411695.580938 0 241622114.443143 0 0
x20MCx2867 0 0 0 0 433793.665234651 0 0 0 0 0 0 0 0 0 0 156274167.900783 0 1687132012.51386 0 0 0 0 0 17677091.858312 0 0 0 422081236.273315 2067569056.92465 0 0 0 0 3361900.90556854 0 14222033763.1343 0 0 0 0 0 0 0 0 0 0 0 0 0 28088139.823943604 0 0 0 0
