SampleID Veillonellaceae Waddliaceae Glycomycetaceae Desulfovibrionaceae Desulfurobacteriaceae Erysipelotrichaceae Leuconostocaceae Alcanivoracaceae Parachlamydiaceae Peptostreptococcaceae Promicromonosporaceae Acidimicrobiaceae Ferrimonadaceae Trueperaceae Alcaligenaceae Listeriaceae Beutenbergiaceae Rhodospirillaceae Verrucomicrobiaceae Oscillochloridaceae Puniceicoccaceae Kineosporiaceae Mycobacteriaceae Sphaerobacteraceae Pseudomonadaceae Hydrogenophilaceae Nakamurellaceae Moraxellaceae Thermaceae Propionibacteriaceae Carnobacteriaceae Nocardioidaceae Geobacteraceae Flammeovirgaceae Frankiaceae Methanocaldococcaceae Nitrosopumilaceae Alicyclobacillaceae Desulfurellaceae Aeromonadaceae Thermofilaceae Fusobacteriaceae Planctomycetaceae Thermotogaceae Nostocaceae Thermoanaerobacteraceae Campylobacteraceae Anaerolineaceae Neisseriaceae Caulobacteraceae Chromatiaceae Eubacteriaceae Solibacteraceae Prochlorococcaceae Thermoactinomycetaceae Aquificaceae Flavobacteriaceae Picrophilaceae Rickettsiaceae Methanopyraceae Prevotellaceae Erythrobacteraceae Hahellaceae Cystobacteraceae Corynebacteriaceae Xanthomonadaceae Syntrophobacteraceae Pseudoalteromonadaceae Blattabacteriaceae Methanosaetaceae Chloroflexaceae Thermoplasmataceae Bifidobacteriaceae Paenibacillaceae Methanocellaceae Thermococcaceae Halothiobacillaceae Hyphomicrobiaceae Thermoanaerobacterales_Family_III__Incertae_Sedis Heliobacteriaceae Oxalobacteraceae Ferroplasmaceae Desulfobacteraceae Halanaerobiaceae Beijerinckiaceae Clostridiales_Family_XVIII__Incertae_Sedis Syntrophaceae Dictyoglomaceae Lachnospiraceae Nannocystaceae Lentisphaeraceae Leptospiraceae Oscillospiraceae Kofleriaceae Methylophilaceae Desulfurococcaceae Spirochaetaceae Pseudonocardiaceae Thermodesulfobiaceae Acidilobaceae Methylococcaceae Rhodobacteraceae Chlorobiaceae Clostridiales_Family_XVII__Incertae_Sedis Haloplasmataceae Desulfobulbaceae Cellulomonadaceae Pyrodictiaceae unclassified Methylobacteriaceae Burkholderiaceae Acidobacteriaceae Cyclobacteriaceae Rubrobacteraceae Sanguibacteraceae Hydrogenothermaceae Acidaminococcaceae Myxococcaceae Methanocorpusculaceae Methylocystaceae Enterobacteriaceae Fibrobacteraceae Desulfarculaceae Microbacteriaceae Acholeplasmataceae Staphylococcaceae Verrucomicrobia_subdivision_3 Acidithiobacillaceae Syntrophomonadaceae Jonesiaceae Tsukamurellaceae Planococcaceae Pasteurellaceae Nocardiopsaceae Chlamydiaceae Ectothiorhodospiraceae Salinisphaeraceae Nitrospiraceae Ktedonobacteraceae Methanobacteriaceae Alteromonadaceae Xanthobacteraceae Desulfuromonadaceae Mycoplasmataceae Rhizobiaceae Halobacteriaceae Porphyromonadaceae Simkaniaceae Idiomarinaceae Entomoplasmataceae Enterococcaceae Desulfohalobiaceae Bacillaceae Comamonadaceae Actinomycetaceae Sulfolobaceae Sutterellaceae Methanococcaceae Desulfomicrobiaceae Bdellovibrionaceae Methanospirillaceae Natranaerobiaceae Conexibacteraceae Brevibacteriaceae Francisellaceae Thermoanaerobacterales_Family_IV__Incertae_Sedis Opitutaceae Lactobacillaceae Cardiobacteriaceae Brachyspiraceae Colwelliaceae Aerococcaceae Gallionellaceae Deferribacteraceae Succinivibrionaceae Deinococcaceae Clostridiaceae Mariprofundaceae Methanosarcinaceae Coxiellaceae Nocardiaceae Anaplasmataceae Streptomycetaceae Peptococcaceae Cytophagaceae Thermoproteaceae Catenulisporaceae Segniliparaceae Victivallaceae Psychromonadaceae Archaeoglobaceae Rhodothermaceae Chrysiogenaceae Dermabacteraceae Thermomonosporaceae Moritellaceae Ruminococcaceae Bartonellaceae Micromonosporaceae Dermacoccaceae Sphingobacteriaceae Gemmatimonadaceae Hyphomonadaceae Streptococcaceae Methylacidiphilaceae Piscirickettsiaceae Leptotrichiaceae Halomonadaceae Bacteroidaceae Pelobacteraceae Phyllobacteriaceae Bacteriovoracaceae Thermomicrobiaceae Herpetosiphonaceae Legionellaceae Thermodesulfobacteriaceae Acetobacteraceae Helicobacteraceae Aurantimonadaceae Brucellaceae Micrococcaceae Shewanellaceae Bradyrhizobiaceae Rikenellaceae Streptosporangiaceae Nautiliaceae Nitrosomonadaceae Methanomicrobiaceae Polyangiaceae Saprospiraceae Gordoniaceae Geodermatophilaceae Parvularculaceae Acidothermaceae Vibrionaceae Clostridiales_Family_XI__Incertae_Sedis Methanothermaceae Synergistaceae Oceanospirillaceae Coriobacteriaceae Elusimicrobiaceae Halobacteroidaceae Rhodocyclaceae Cryomorphaceae Intrasporangiaceae Sphingomonadaceae
x30MCx1266 3245088906.50326 0 0 6289982.8418670995 0 13339101.5439595 0 0 0 0 0 0 0 0 0 0 0 0 110183147.712706 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1587244635.75115 0 0 0 0 406788373.10075 0 0 0 158334050.846999 0 0 0 0 0 0 0 0 0 0 0 1422186810.14216 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1732781824.95435 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 48411395182.3303 0 0 0 0 0 0 0 6506878.80193148 0 0 0 5422399.00160957 0 0 0 0 0 0 0 0 0 0 0 2060511.62061164 0 0 0 0 0 0 0 0 0 0 0 0 0 1098578037.7261 0 0 0 0 0 0 0 7049118.70209244 0 62249140.53847779 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 254744305.095617 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6828860854.64706 0 0 0 0 0 0 14640477.3043458 0 0 0 0 13563914206.5663 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5876904485.9244795 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 215377688.343932 0 0 0 0 0 0
x13MCx3413 467520942.848168 0 0 102917507.483858 0 80794039.067939 0 0 0 1952070.74258108 0 0 0 0 0 0 0 0 27979680.643662103 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3904141.48516215 0 0 0 0 0 0 0 0 867586.9967027 0 0 0 0 0 0 6723799.22444593 0 0 0 0 145429270.32229 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2204321661.87239 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5128415185.88425 0 0 0 0 0 0 0 0 0 0 0 154430485.41308102 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 21364329.793804 0 0 0 7482937.84656079 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 15291220.8168851 0 0 0 0 0 0 0 0 68539372.7395133 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2604496164.10151 0 0 0 0 0 0 35462618.4902229 0 0 0 0 9366143871.278591 0 0 0 0 0 0 0 0 0 0 0 0 0 0 327730988.004445 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 14748978.9439459 0 0 0 0 0 0
x30MCx2605 166576189.271636 0 0 613273665.580144 0 35679405.12393761 0 0 0 1735168.63824621 0 0 0 0 0 0 0 0 1915517728.58392 0 0 0 0 0 1192928.43879427 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 686801436.625827 0 0 0 0 0 0 0 0 414922200.620624 0 0 0 0 0 0 0 0 0 0 0 22557192.2972007 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 709033284.8033559 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 32149312977.4656 0 0 0 0 0 0 0 1061164070.32745 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 976032.359013491 0 0 0 0 0 0 0 0 0 0 0 0 0 184903908.01311105 0 0 0 0 0 0 0 0 0 173191519.704949 0 0 0 0 0 0 0 0 0 0 2819649.03715008 0 0 0 0 0 0 0 0 152586392.125776 0 0 0 0 0 0 0 0 0 0 0 5422401.99451939 0 0 0 0 0 0 0 1060838726.20777 0 0 0 0 0 0 17460134.4223525 0 0 0 0 4007371970.02961 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1364601685.94075 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 90771009.3882547 0 0 0 0 0 0
x14MCx3258 127751742.842609 0 0 106821279.032232 0 28521823.7416011 0 0 0 0 0 0 0 0 0 0 0 0 647651450.1324769 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5142604113.40959 0 0 0 0 963018231.2753508 0 0 0 34589272390.6318 0 0 0 0 0 0 0 0 0 0 0 170046462.459431 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2787547366.74568 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 99082104478.3466 0 0 0 0 0 0 0 4009430971.67579 0 0 0 334019836.97388303 0 0 0 0 0 0 0 0 0 0 0 25159935.7720587 0 0 0 0 0 0 0 0 0 0 0 0 0 3791667389.64866 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9868767.9105919991 0 0 0 0 0 0 0 0 21581151.8044814 0 0 0 0 0 0 0 0 0 0 0 17677023.839851603 0 0 0 0 0 0 0 13529863909.4236 0 0 0 0 0 0 191193822.267843 0 0 0 0 24152345413.1872 0 0 0 0 0 0 0 0 0 0 0 8133599.92631209 0 0 1322306452.02031 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 117882974.932017 0 0 0 0 0 0
x10MCx2444 8567390.39675026 0 0 1031448734.98091 0 68213779.23488499 0 0 0 8242046.45763317 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 14316000904.99 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 133933254.936539 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5300937248.01459 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 99618362094.0209 0 0 0 0 0 0 0 2398327071.19155 0 0 0 23643503191.4975 0 0 0 0 0 0 0 0 0 0 0 7699806.55910467 0 0 0 0 0 0 0 0 0 0 0 0 0 2115169396.1799605 0 0 0 65719475.7016539 0 0 0 0 0 2533995493.80338 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 34052665.627589695 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13444404492.0953 0 0 0 0 0 0 63550516.10753989 0 0 0 0 46342316031.7786 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6613700042.35209 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 186638973.073509 0 0 0 0 0 0
x30MCx2082 0 0 0 143368285.14546898 0 41860936.5099478 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2732347915.4614897 0 0 0 0 0 0 0 0 19412195.946323 0 0 0 0 0 0 0 0 0 0 0 257455604.33838397 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1504282513.80696 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 32116556385.0039 0 0 0 0 0 0 0 0 0 0 0 853269037.461838 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1446588166.07822 0 0 0 0 0 0 0 0 0 786573503.903243 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 26027525.291159306 0 0 0 0 0 0 0 0 0 0 0 1409824.28660446 0 0 0 0 0 0 0 5810970365.31745 0 0 0 0 0 0 43704552.884738296 0 0 0 0 42894663056.095 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2743951853.82047 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 244224945.648711 0 0 0 0 0 0
x30MCx3249 0 0 0 58236585.6258417 0 296388432.989619 0 0 0 17893922.9576609 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5856192.96796173 0 0 0 0 2596570893.1834803 0 0 0 0 749158907.8274009 0 0 0 2013120556.7458105 0 0 0 0 0 0 0 0 0 0 0 1507319001.1426 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6425978854.14083 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 72606924033.0943 0 0 0 0 0 0 0 0 0 0 0 41860934.9191339 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 799370340.1267769 0 0 0 0 0 0 0 0 0 365795164.461758 0 0 0 0 0 0 0 0 0 0 1084480.17925217 0 0 0 0 0 0 0 0 689512497.968531 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10317202185.3155 0 0 0 0 0 0 58995721.7513182 0 0 0 0 5492241419.8047 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3566963757.5783205 0 0 0 0 0 0 0 0 0 0 0 8784289.4519426 0 0 0 482593679.767217 0 0 0 0 0 0
x20MCx3389 3465783192.9400396 0 0 285218405.326751 0 232512646.775876 0 0 0 34811828.1786643 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1647976763.2491698 0 0 0 0 538553080.172109 0 0 0 29334441867.6992 0 0 0 0 0 0 0 0 0 0 0 46198874.779162 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1931459999.57013 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 27978624185.7999 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13556007.8577353 0 0 0 0 0 0 0 0 0 0 0 0 0 1609911493.18465 0 0 0 0 0 0 0 4337922.5144753 0 521092942.051346 0 0 0 0 0 0 0 0 0 0 2711201.57154706 0 0 0 0 0 0 0 0 14532040.4234923 0 0 0 0 0 0 0 0 0 0 0 2819649.63440895 0 0 0 0 0 0 0 4263852487.54064 0 0 0 0 0 0 579437999.871038 0 0 0 0 12710004519.3498 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2976357085.24437 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 60839363.2655161 0 0 0 0 0 0
x20MCx1369 907060123.137553 0 0 16050322.5997558 0 1952066.26213247 0 0 0 0 0 0 0 0 0 0 0 0 6398439.41476753 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 244442075.26925495 0 0 0 0 0 0 0 0 26117453657.95 0 0 0 0 0 0 0 0 0 0 0 160177881.620536 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 296930968.095483 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 14894590924.4477 0 0 0 0 0 0 0 1256805328.43629 0 0 0 195857314.967291 0 0 0 0 0 0 0 0 0 0 0 759136.879718182 0 0 0 0 0 0 0 0 0 0 0 0 0 427394063.281336 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12471534.452513 0 0 0 0 0 0 0 0 152803409.074703 0 0 0 0 0 0 0 0 0 0 0 1735170.01078442 0 0 0 0 0 0 0 792430454.300108 0 0 0 0 0 0 12363086.326839 0 0 0 0 1614141902.5322 0 0 0 0 0 0 0 0 0 0 0 0 0 0 914543043.8090608 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 121787245.131931 0 0 0 0 0 0
x14MCx2510 0 0 0 925061935.261715 0 45005944.0953824 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2193904214.57731 0 0 0 0 0 0 0 0 27112014.5152906 0 0 0 0 0 0 0 0 0 0 0 42945430.9922203 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2158116355.41713 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 58206133274.52901 0 0 0 0 0 0 0 0 0 0 0 239236416.08292404 0 0 0 0 0 0 0 0 0 0 0 2819649.50959022 0 0 0 0 0 0 527816698.58367693 0 0 0 0 0 0 13664455.3157065 0 0 0 105845304.667694 0 0 0 5422402.90305812 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5056065362.92751 0 0 0 0 0 0 0 0 0 0 0 28304943.1539634 0 0 0 0 0 0 0 17512843104.0649 0 0 0 0 0 0 48584730.0114007 0 0 0 0 2848605141.09255 0 0 0 0 0 0 0 0 0 0 0 4771714.55469114 0 0 917795915.371617 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 47391801.3727279 0 0 0 0 0 0
