SampleID Sphingobacteriales Thermotogales Chromatiales Herpetosiphonales Entomoplasmatales Fusobacteriales Methylophilales Bifidobacteriales Puniceicoccales Desulfovibrionales Rhizobiales Fibrobacterales Acidobacteriales Chroococcales Flavobacteriales Methylococcales Solibacterales Oceanospirillales Gallionellales Clostridiales Methanosarcinales Desulfurellales Alteromonadales Halanaerobiales Pasteurellales Methanocellales Thiotrichales Xanthomonadales Thermoanaerobacterales Acidimicrobiales Mariprofundales Actinomycetales Bdellovibrionales Rubrobacterales Gloeobacterales Dictyoglomales Archaeoglobales Methanococcales Desulfobacterales Cytophagales Myxococcales Desulfurococcales Methanomicrobiales Sphaerobacterales Burkholderiales Prochlorales Campylobacterales Halobacteriales Sulfolobales Coriobacteriales Pseudomonadales Chlorobiales Spirochaetales unclassified Nitrospirales Thermoplasmatales Selenomonadales Aquificales Methylacidiphilales Neisseriales Thermococcales Methanobacteriales Solirubrobacterales Rhodobacterales Methanopyrales Thermomicrobiales Lactobacillales Anaerolineales Lentisphaerales Caulobacterales Bacteroidetes_Order_II__Incertae_sedis Vibrionales Parvularculales Nitrosopumilales Nautiliales Deinococcales Thermodesulfobacteriales Bacteroidales Deferribacterales Planctomycetales Salinisphaerales Bacillales Erysipelotrichales Natranaerobiales Rhodocyclales Rickettsiales Verrucomicrobiales Chrysiogenales Acidilobales Acidithiobacillales Legionellales Gemmatimonadales Ktedonobacterales Cardiobacteriales Elusimicrobiales Thermoproteales Sphingomonadales Hydrogenophilales Desulfuromonadales Synergistales Mycoplasmatales Enterobacteriales Rhodospirillales Acholeplasmatales Haloplasmatales Oscillatoriales Thermales Nostocales Syntrophobacterales Nitrosomonadales Aeromonadales Chlamydiales Desulfarculales Chloroflexales
x30MCx1266 0 0 0 0 0 0 0 1422186810.14216 0 6289982.8418670995 0 0 0 0 406788373.10075 0 0 0 0 10780163007.1199 0 0 0 0 2060511.62061164 0 0 0 0 0 0 7049118.70209244 0 0 0 0 0 0 0 0 0 0 0 0 70491187.0209244 0 0 0 0 215377688.343932 0 0 0 48026621749.1761 0 0 3251595785.3051896 0 0 0 0 0 0 0 0 0 14640477.3043458 0 0 0 0 0 0 0 0 0 0 20697730781.0638 0 0 0 0 13339101.5439595 0 0 0 110183147.712706 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5422399.00160957 0 0 0 0 0 0 0 0 0 0 0 0
x13MCx3413 0 0 0 0 0 0 0 145429270.32229 0 102917507.483858 0 0 0 0 0 0 0 0 0 5011399389.70397 0 0 6723799.22444593 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 433793.49835135 0 0 0 0 14748978.9439459 0 0 0 4999795413.623079 0 0 467520942.848168 0 0 0 0 0 0 0 0 0 58236777.1536688 0 0 0 0 0 0 0 0 0 0 9716106776.07354 0 0 0 0 80794039.067939 0 0 0 27979680.643662103 0 0 0 0 0 0 0 0 0 0 0 0 0 0 154430485.41308102 0 0 0 0 0 0 0 0 0 0 0 0
x30MCx2605 0 0 0 0 0 0 0 22557192.2972007 0 613273665.580144 0 0 0 0 0 0 0 0 0 2653072847.87845 0 0 0 0 976032.359013491 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 187940453.130042 0 0 0 0 90771009.3882547 1192928.43879427 0 0 32097908606.5576 0 0 1227740259.59908 0 0 0 0 0 0 0 0 0 20279783.4595025 0 0 0 0 0 0 0 0 0 0 5971799764.6041 0 0 0 0 35679405.12393761 0 0 0 1915517728.58392 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
x14MCx3258 0 0 0 0 0 0 0 170046462.459431 0 106821279.032232 0 0 0 0 963018231.2753508 0 0 0 0 22097689623.8017 0 0 0 0 25159935.7720587 0 0 0 0 0 0 8133599.92631209 0 0 0 0 0 0 0 0 0 0 0 0 253009181.707815 0 0 0 0 117882974.932017 0 0 0 98230679238.0603 0 0 4137182714.5184 0 0 0 0 0 0 0 0 0 201062590.178435 0 0 0 0 0 0 0 0 0 0 63855591645.488 0 0 0 0 28521823.7416011 0 0 0 647651450.1324769 0 0 0 0 0 0 0 0 0 0 0 0 0 0 334019836.97388303 0 0 0 0 0 0 0 0 0 0 0 0
x10MCx2444 0 0 0 0 0 0 0 133933254.936539 0 1031448734.98091 0 0 0 0 0 0 0 0 0 34162089639.1127 0 0 0 0 7699806.55910467 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3228604803.81838 0 0 0 0 186638973.073509 0 0 0 97865300502.0783 0 0 2406894461.5883 0 0 0 0 0 0 0 0 0 129269991.809194 0 0 0 0 0 0 0 0 0 0 55071185470.3107 0 0 0 0 68213779.23488499 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 23643503191.4975 0 0 0 0 0 0 0 0 0 0 0 0
x30MCx2082 0 0 0 0 0 0 0 257455604.33838397 0 143368285.14546898 0 0 0 0 0 0 0 0 0 10191836663.9077 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 786573503.903243 0 0 0 0 244224945.648711 0 0 0 31999757865.2599 0 0 0 0 0 0 0 0 0 0 0 0 43704552.884738296 0 0 0 0 0 0 0 0 0 0 47104615271.9401 0 0 0 0 41860936.5099478 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 853269037.461838 0 0 0 0 0 0 0 0 0 0 0 0
x30MCx3249 0 0 0 0 0 0 0 1507319001.1426 0 58236585.6258417 0 0 0 0 749158907.8274009 0 0 0 0 20177079079.0405 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 374796349.949551 0 5856192.96796173 0 0 482593679.767217 0 0 0 72476786411.584 0 0 0 0 0 0 0 0 0 0 0 0 60080201.9305704 0 0 0 0 0 0 0 0 0 0 11871696074.2556 0 0 0 0 296388432.989619 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 41860934.9191339 0 0 0 0 0 0 0 0 0 0 0 0
x20MCx3389 0 0 0 0 0 0 0 46198874.779162 0 285218405.326751 0 0 0 0 538553080.172109 0 0 0 0 8091526866.25078 0 0 0 0 13556007.8577353 0 0 0 0 0 0 4337922.5144753 0 0 0 0 0 0 0 0 0 0 0 0 533672917.343324 0 0 0 0 60839363.2655161 0 0 0 27769970112.8537 0 0 3465783192.9400396 0 0 0 0 0 0 0 0 0 582149201.442585 0 0 0 0 0 0 0 0 0 0 46630714965.478 0 0 0 0 232512646.775876 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
x20MCx1369 0 0 0 0 0 0 0 160177881.620536 0 16050322.5997558 0 0 0 0 0 0 0 0 0 1549723715.88183 0 0 0 0 759136.879718182 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 98145553.7349935 0 0 0 0 121787245.131931 0 0 0 14735063731.5813 0 0 2163865451.5738397 0 0 0 0 0 0 0 0 0 24834620.779351898 0 0 0 0 0 0 0 0 0 0 29073532667.5726 0 0 0 0 1952066.26213247 0 0 0 6398439.41476753 0 0 0 0 0 0 0 0 0 0 0 0 0 0 195857314.967291 0 0 0 0 0 0 0 0 0 0 0 0
x14MCx2510 0 0 0 0 0 0 0 42945430.9922203 0 925061935.261715 0 0 0 0 0 0 0 0 0 27055296180.9246 0 0 0 0 2819649.50959022 0 0 0 0 0 0 10194117.457749302 0 0 0 0 0 0 0 0 0 0 0 0 68756068.8107769 0 0 0 0 47391801.3727279 0 0 0 58031315004.9344 0 0 0 0 0 0 0 527816698.58367693 0 0 0 0 154430034.679095 0 0 0 0 0 0 0 0 0 0 3807177526.29516 0 0 0 0 45005944.0953824 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 239236416.08292404 0 0 0 0 0 0 0 0 0 0 0 0
