SampleID Synergistetes Bacteroidetes Tenericutes unclassified Chlorobi Deferribacteres Planctomycetes Aquificae Verrucomicrobia Thermotogae Thermodesulfobacteria Proteobacteria Chlamydiae Cyanobacteria Elusimicrobia Euryarchaeota Nanoarchaeota Actinobacteria Fusobacteria Dictyoglomi Lentisphaerae Chloroflexi Acidobacteria Fibrobacteres Deinococcus_Thermus Chrysiogenetes Nitrospirae Firmicutes Korarchaeota Gemmatimonadetes Crenarchaeota Thaumarchaeota Spirochaetes
x30MCx1266 0 21731673822.6908 0 47399467080.6499 0 0 0 0 110183147.712706 0 0 84264080.48501271 0 0 0 0 0 1644613617.18818 0 0 0 0 0 0 0 0 0 14059738371.2734 0 0 0 0 0
x13MCx3413 0 9716106776.07354 0 4999795413.623079 0 0 0 0 27979680.643662103 0 0 264505585.619736 0 0 0 0 0 160178249.266236 0 0 0 0 0 0 0 0 0 5617951148.77375 0 0 0 0 0
x30MCx2605 0 6166897788.36691 0 31897388180.8002 0 0 0 0 1915517728.58392 0 0 803383079.507994 0 0 0 0 0 113328201.685455 0 0 5422401.99451939 0 0 0 0 0 0 3936772296.0609703 0 0 0 0 0
x14MCx3258 0 66212058216.1391 0 96819553874.8446 0 0 0 0 647651450.1324769 0 0 719010233.485989 0 0 0 0 0 296063037.31776 0 0 17677023.839851603 0 0 0 0 0 0 26464456752.2402 0 0 0 0 0
x10MCx2444 0 55071185470.3107 0 97865300502.0783 0 0 0 0 0 0 0 27911256536.8559 0 0 0 0 0 320572228.010048 0 0 0 0 0 0 0 0 0 36766467871.7451 0 0 0 0 0
x30MCx2082 0 47104615271.9401 0 31998348040.9733 0 0 0 0 0 0 0 1783210826.51055 0 0 0 0 0 501680549.987095 0 0 1409824.28660446 0 0 0 0 0 0 10277402153.3024 0 0 0 0 0
x30MCx3249 0 13791876679.6395 0 71305764714.0275 0 0 0 0 0 0 0 480750063.462488 0 0 0 0 0 1989912680.90981 0 0 0 0 0 0 0 0 0 20533547713.9606 0 0 0 0 0
x20MCx3389 0 47878843720.9554 0 27057574787.914 0 0 0 0 0 0 0 832447330.52781 0 0 0 0 0 111376160.559153 0 0 2819649.63440895 0 0 0 0 0 0 12371971907.4093 0 0 0 0 0
x20MCx1369 0 29073532667.5726 0 14733328561.5705 0 0 0 0 6398439.41476753 0 0 310812328.181758 0 0 0 0 0 281965126.752468 0 0 1735170.01078442 0 0 0 0 0 0 3740375854.49716 0 0 0 0 0
x14MCx2510 0 3807177526.29516 0 58003010061.7804 0 0 0 0 0 0 0 1235874069.66501 0 0 0 527816698.58367693 0 100531349.822697 0 0 28304943.1539634 0 0 0 0 0 0 27254732159.6991 0 0 0 0 0
x30MCx2480 0 6051944109.47161 0 39621282618.1746 0 0 0 0 0 0 0 439756892.104782 0 0 0 0 0 512850886.008265 0 0 0 0 0 0 0 0 0 22997821408.2408 0 0 0 0 0
x20MCx2346 0 42312628929.38 0 48107658313.0263 0 0 0 0 1952064.69244766 0 0 1363950979.82857 0 0 0 11170147.9623394 0 1287928904.86158 0 0 2385856.84632491 0 0 0 0 0 0 21705224211.4024 0 0 0 0 0
x10MCx3391 34920268.3750026 61950291265.8696 0 36845980193.4341 0 0 0 0 19303750.84084 0 0 2270468132.60576 0 0 0 0 0 533455901.04546 0 0 0 0 0 0 0 0 0 21857485249.8293 0 0 0 0 0
x30MCx3128 0 65986378057.1283 0 82109884342.0727 0 0 0 0 2322413903.4275 0 0 16134676428.8647 0 0 0 35354047.7477173 0 943714489.265755 0 0 412969981.053091 0 0 0 0 0 0 11709781164.4403 0 0 0 0 0
x30MCx2116 0 21365453959.2982 0 77269760436.0658 0 0 0 0 7960735762.654079 0 0 1518489253.5853 0 0 0 216462258.974165 0 92506165.7840494 0 0 0 0 0 0 0 0 0 11383355448.6384 0 0 0 0 0
x13MCx2331 0 55710698827.3444 0 56543687693.9845 0 0 0 0 7632459763.7372 0 0 257130139.66980097 0 0 0 0 0 2470336335.5286303 0 0 0 0 0 0 0 0 0 24769408169.7355 0 0 0 0 0
x10MCx2332 0 74343373764.9914 0 19594816417.5185 0 0 0 0 10457639564.8829 0 0 3394855842.98554 0 0 0 0 0 536383752.85607195 0 0 0 0 0 0 0 0 0 13765953912.7655 0 0 0 0 0
x20MCx2465 0 45153515564.6724 0 35173914186.8001 0 0 0 0 0 0 0 2056065533.49287 0 0 0 0 0 955209938.235412 0 0 0 0 0 0 0 0 0 45484824188.7992 0 0 0 0 0
x14MCx1583 0 23148539191.9867 0 92980882139.6145 0 0 0 0 384556412.769016 0 0 454179993.4226281 0 0 0 0 0 656435410.741921 0 0 3687230.12807291 0 0 0 0 0 0 42922178337.3372 0 0 0 0 0
x20MCx2299 0 21144016340.6034 0 17126231372.8051 0 0 0 0 0 0 0 83071239.61707859 0 0 0 0 0 41101827.4345598 0 0 0 0 0 0 0 0 0 1749809988.5399 0 0 0 0 0
x10MCx1225 0 50459647320.2151 0 66108689331.3245 0 0 0 0 3048472425.03315 0 0 5077859279.87645 0 0 0 0 0 1110290312.61079 0 0 46198835.0431918 0 0 0 0 0 0 48567447146.8968 0 0 0 0 0
x12MCx2291 0 35823620995.2133 0 63703427508.244 0 0 0 0 4415459476.342171 0 0 1353756125.33905 0 0 0 0 0 751002256.506682 0 0 10519453.9900575 0 0 0 0 0 0 31442214184.3647 0 0 0 0 0
