SampleID NMR4_ASSIGNED.Glutamate.2.1207 NMR4_ASSIGNED.Myo-inositol.3.2823 NMR4_ASSIGNED.Glucose_Erythritol_Taurine.3.7172 NMR4_ASSIGNED.Choline.3.2184 NMR4_ASSIGNED.1.5-AG.3.8798 NMR4_ASSIGNED.Ornithine.3.0541 NMR4_ASSIGNED.Taurine_Glucose_Glucuronate.3.4226 NMR4_ASSIGNED.Formate.8.454 NMR4_ASSIGNED.Proline.4.1263 NMR4_ASSIGNED.Glucose_Glucuronate.3.7323 NMR4_ASSIGNED.3-Hydroxybutyrate.4.1463 NMR4_ASSIGNED.2-oxoglutarate.3.0049 NMR4_ASSIGNED.Dimethylglycine.2.9121 NMR4_ASSIGNED.Glucose_Erythritol_Glucuronate_Taurine.3.4907 NMR4_ASSIGNED.Glucuronate.5.2436 NMR4_ASSIGNED.3-Hydroxyisobutyrate.1.0666 NMR4_ASSIGNED.3-Hydroxybutyrate.1.1966 NMR4_ASSIGNED.Glucose_Erythritol_Glucuronate_Taurine.5.233 NMR4_ASSIGNED.3-Hydroxybutyrate.2.3936 NMR4_ASSIGNED.Methionine.2.6412 NMR4_ASSIGNED.Acetone.2.2235 NMR4_ASSIGNED.Glucose_Erythritol_Glucuronate_Taurine.3.8283 NMR4_ASSIGNED.Glutamate.2.4459 NMR4_ASSIGNED.Glucose_Erythritol_Glucuronate_Taurine.3.7623 NMR4_ASSIGNED.Aspartate.3.7496 NMR4_ASSIGNED.Myo-inositol.3.6268 NMR4_ASSIGNED.TMA.2.897 NMR4_ASSIGNED.Glucose_Erythritol_Glucuronate_Taurine.3.8045 NMR4_ASSIGNED.2-Hydroxybutyrate.0.8947 NMR4_ASSIGNED.Glutamate.2.4304 NMR4_ASSIGNED.Valine.1.0309 NMR4_ASSIGNED.1.5-AG.3.9771 NMR4_ASSIGNED.2-Aminobutyrate.0.9758 NMR4_ASSIGNED.Citrate.2.6529 NMR4_ASSIGNED.GlycA.2.0292 NMR4_ASSIGNED.Glucose_Tauine_Erythritol.3.4003 NMR4_ASSIGNED.Glutamate.2.4648 NMR4_ASSIGNED.Tyrosine.6.8935 NMR4_ASSIGNED.Alanine.3.7829 NMR4_ASSIGNED.Glucose_Erythritol.3.7939 NMR4_ASSIGNED.Threonine.3.5732 NMR4_ASSIGNED.Threonine.4.2456 NMR4_ASSIGNED.Glucose.3.774 NMR4_ASSIGNED.Glucose_Taurine_Erythritol_Glucuronate.3.2442 NMR4_ASSIGNED.Leucine.0.9422 NMR4_ASSIGNED.Myo-inositol.3.2789 NMR4_ASSIGNED.Lactate.4.1071 NMR4_ASSIGNED.Pyruvate.2.3655 NMR4_ASSIGNED.Proline.3.3367 NMR4_ASSIGNED.Glucose_Taurine.3.4515 NMR4_ASSIGNED.Isoleucine.0.9318 NMR4_ASSIGNED.Creatinine.4.0462 NMR4_ASSIGNED.Creatine.3.9232 NMR4_ASSIGNED.Methionine.2.1344 NMR4_ASSIGNED.1.5-AG.3.589 NMR4_ASSIGNED.Dimethylamine.2.7216 NMR4_ASSIGNED.3-Hydroxybutyrate.2.3039 NMR4_ASSIGNED.Glucuronate.3.852 NMR4_ASSIGNED.Glucose_Erythritol_Glucuronate_Taurine.3.535 NMR4_ASSIGNED.MMA.2.5381 NMR4_ASSIGNED.1.5-AG.3.3445 NMR4_ASSIGNED.Valine.0.982 NMR4_ASSIGNED.Mannose.5.1804 NMR4_ASSIGNED.Alanine.1.474 NMR4_ASSIGNED.Creatinine.3.0393 NMR4_ASSIGNED.Myo-inositol.4.0665 NMR4_ASSIGNED.Lactate.1.3234 NMR4_ASSIGNED.Isoleucine.0.9999 NMR4_ASSIGNED.Sarcosine.2.7395 NMR4_ASSIGNED.2-Hydroxybutyrate.3.9902 NMR4_ASSIGNED.Acetate.1.9099 NMR4_ASSIGNED.Glutamine_2-oxoglutarate.2.4229 NMR4_ASSIGNED.Isobutyrate.1.0426 NMR4_ASSIGNED.Glucose_Erythritol_Glucuronate_Taurine.3.896 NMR4_ASSIGNED.Tyrosine.7.1895 NMR4_ASSIGNED.Aspartate.2.8207 NMR4_ASSIGNED.Glucose_Erythritol_Taurine.3.84 NMR4_ASSIGNED.2-Hydroxyisobutyrate.1.3502 NMR4_ASSIGNED.TMAO.3.2576 NMR4_ASSIGNED.1.5AG.3.272
x30MCx1266 22.66589 1.97282 504.6067 91.9767 5.3383 6.911760000000001 28.3169 2.46103 15.55991 20.7657 2.75365 1.33583 0.7137399999999999 632.6036 3.2483 6.1589 45.543690000000005 255.095 5.12591 4.20454 28.69984 158.4158 11.9593 170.9217 38.0358 7.350810000000001 2.23794 44.6181 6.249230000000001 12.34191 87.51919000000001 11.13014 15.60006 1.4476870000000002 228.45295 296.4219 9.95475 5.57714 35.3325 11.31359 3.83979 2.02579 22.3197 298.474 1.5373000000000001 3.12185 88.45272 39.34771 13.05696 317.37908 33.1971 25.53495 11.4052 21.81841 3.764780000000001 1.169066 6.34424 9.09171 164.11900000000003 0.92536 2.8504099999999997 71.2841 2.6537 204.6712 29.9999 3.44942 610.7155 24.88246 0.978394 0.8922200000000001 13.84431 1.220281 4.30277 491.4358 4.9009599999999995 1.57236 63.5791 2.1705 157.7798 19.6195
x13MCx3413 16.462020000000003 1.36574 484.8967 125.7909 5.7047 8.08403 28.5604 3.343569 16.03991 21.3091 1.867409 1.039916 0.96944 638.9351 4.21415 7.06635 39.97507 256.5313 4.69822 4.2537400000000005 36.8164 156.9074 7.82067 170.2926 21.3843 5.27825 1.17674 45.7957 6.88198 9.77234 108.1268 9.30749 13.616370000000002 0.8984270000000001 254.96465 298.337 6.47372 5.82785 41.9552 12.18505 5.34441 2.3675599999999997 21.588 298.911 1.95904 2.27886 230.06413 64.88179000000001 9.94554 316.7658 48.5518 19.65929 23.70292 21.15047 3.10253 1.102893 5.30209 9.73371 162.77100000000002 0.4802300000000001 2.3511599999999997 87.4753 1.51108 248.9837 25.013 3.86849 1539.9854 33.9877 2.53165 1.28323 18.895451 0.95481 5.987 492.6052 4.71001 0.497917 63.2836 3.61873 77.7129 17.32694
x30MCx2605 24.9811 1.84887 561.6636 143.0296 5.01967 2.04527 28.4952 1.761032 9.97254 20.079 2.487254 1.51783 0.6431 657.8715 4.12298 5.96545 28.80612 281.55400000000003 5.44486 3.21175 25.042579999999997 166.0603 11.53608 193.4678 25.9734 3.60765 1.377957 48.1665 3.3804 14.01895 84.5172 5.6340900000000005 11.68992 1.259013 303.95001 316.3104 10.33601 3.9972 35.5929 13.9068 5.5128699999999995 1.74805 23.7623 305.41 2.06815 3.02175 113.34174 34.619 8.52384 318.99005 22.09021 17.16156 30.699709999999996 20.264470000000003 1.7582 2.9071 2.375722 9.45976 180.5 0.304579 3.4913 70.71600000000001 1.95239 212.429 19.9209 4.07916 763.2862 18.59429 1.6804 0.91381 77.9956 1.66841 3.2564599999999997 519.0669 3.5591800000000005 0.321601 73.0774 1.90525 143.5351 11.81679
x14MCx3258 20.62179 1.95098 428.858 168.28099999999998 3.87055 8.150360000000001 24.1146 2.54118 11.38955 16.0019 2.4773 1.65817 0.706198 506.9121 2.47888 6.54061 41.00245 216.2339 5.48522 2.9506 33.174859999999995 135.4595 13.21097 145.3577 34.9883 4.9943800000000005 1.6799389999999998 38.8443 3.94536 12.44305 83.1294 8.28133 12.0019 1.525742 215.29901 248.0085 8.782639999999999 5.8503300000000005 28.4748 10.23147 3.24472 1.95291 18.9639 238.607 1.20133 2.6034 130.04343 18.89467 9.57454 245.52665 22.7957 14.42937 7.135730000000001 17.492279999999997 1.97528 1.32602 5.16331 7.28292 138.215 0.85941 1.61122 71.5202 1.17374 175.27700000000002 17.0408 4.19032 875.4089 16.88873 1.11265 1.08674 39.06485 1.10468 3.56331 405.2022 4.67462 0.80284 55.1208 2.36195 56.7972 10.43513
x10MCx2444 7.083360000000001 1.48557 301.1751 56.1988 2.7534 6.90567 18.0202 67.8735 6.22135 14.5679 3.07461 1.17039 0.711359 410.5187 2.08562 5.748022 50.3746 161.607 4.54874 1.8427 26.92597 103.8896 4.07815 106.7894 13.603 2.67968 1.32285 28.6193 5.09066 5.361190000000001 39.35075 4.05567 6.24296 1.2805030000000002 176.45684 187.92188 3.0716099999999997 2.66035 17.0115 6.72929 2.22225 1.12356 13.06742 192.058 0.74312 1.81439 90.76753 33.04126 6.53239 208.78923 16.6338 6.4732 15.392129999999998 6.222569999999999 1.74183 1.64684 5.7627 6.8523 104.9811 1.09009 1.69616 33.786559999999994 1.19038 98.8319 10.154 3.23203 632.9156 9.4438 1.133943 1.26151 514.82565 1.361999 2.62872 316.8091 1.57732 0.53201 37.8011 2.20553 37.6325 11.20853
x30MCx2082 16.86344 2.40414 799.6652 112.386 13.8708 2.70568 46.0777 1.926557 16.379579999999997 38.4715 3.393 1.55095 0.8604790000000001 940.3792 6.8357 10.07416 40.78543 375.86 4.21556 3.634430000000001 21.2456 210.5936 9.11556 256.4088 20.2137 8.95463 2.20094 68.6331 6.77256 10.56023 123.6879 16.60618 25.1121 1.16769 221.57694 458.8489 6.2323 4.24138 54.4194 32.223 15.34431 3.22705 49.6023 431.617 3.23576 4.68581 131.48433 56.31559 16.45348 497.989 44.1711 12.64584 24.42897 24.70392 15.38131 0.922114 5.06107 19.6906 242.682 0.46539 5.392119999999999 101.4755 2.37744 295.5045 35.1783 4.04065 863.9782 38.88 1.96327 7.94919 10.490272 1.48564 9.3563 738.4951 3.0792200000000003 0.35946300000000003 114.6086 4.134930000000001 105.9282 12.16664
x30MCx3249 19.14358 3.16926 1182.5605 84.4965 4.12081 4.81185 64.0993 1.938203 11.55531 46.6706 3.7815 1.60736 0.71729 1519.2371 9.5717 10.31806 25.99105 599.443 3.825779 3.27354 37.1903 364.0917 9.03237 404.8694 26.8506 5.54944 5.49913 108.4357 6.2941 10.00589 87.0365 5.08039 14.08478 1.1461370000000002 310.71994 715.0162 7.6472 4.08669 43.6339 29.0604 4.61616 2.40675 47.9463 710.495 4.13814 3.95789 126.97767 53.440830000000005 8.65548 775.039 32.1582 26.1138 18.23129 20.30579 2.10143 3.0106900000000003 2.465371 19.9528 391.268 0.403536 1.62532 71.9421 4.61741 255.1549 32.2989 7.28477 854.83 25.82531 3.21627 0.89531 15.05503 0.96526 4.13274 1185.9724 4.581 0.76437 152.2903 2.22738 158.7963 13.01031
x20MCx3389 21.05138 2.1972 473.2999 90.4351 5.3045599999999995 10.34597 28.9029 1.6927020000000002 22.716919999999998 16.7614 2.489936 2.3754299999999997 0.563315 574.9119 2.8195 10.39088 47.70419 235.1971 5.8485 5.0060199999999995 37.98826 146.4784 12.40896 160.7214 31.0668 4.78375 1.277579 41.6636 8.8664 11.91902 148.7702 9.16498 22.4238 1.071979 307.15952999999996 275.5559 9.36844 8.36005 34.2702 11.9711 4.21839 2.82421 20.5651 271.788 2.30782 2.04537 162.88435 9.83163 19.44242 285.98022000000003 53.8985 24.94122 19.30356 25.932 3.3041 2.69826 4.75833 7.96304 152.481 0.45102 2.8412900000000003 129.0205 2.1333 211.82 27.2513 3.12447 1103.6347 41.6629 0.710498 1.49366 21.74342 1.04272 6.3146 454.2309 7.34284 0.9712 60.9549 2.4651 93.8839 16.95391
x20MCx1369 6.49615 0.62739 277.6479 44.9508 3.1767 2.099855 16.147470000000002 68.79703 5.3177 12.1272 2.73422 1.078848 0.594208 356.2144 1.83889 4.3586800000000006 15.59593 143.5806 3.285182 2.3819 16.77025 89.4316 5.14682 98.3587 9.11853 1.61794 1.157323 26.1306 7.1857 4.605119999999999 36.86769 3.72297 6.99998 1.270502 157.20063000000002 168.11247 3.97925 2.20368 26.3825 6.18279 3.19811 0.97769 12.83579 166.607 0.79886 0.832741 105.59604 7.63402 3.17795 182.20538 15.63704 8.88203 10.62792 8.38213 1.772511 1.88679 2.2284029999999997 6.31492 93.5196 1.0587 1.9101 32.482890000000005 0.918585 150.2892 12.5778 2.09124 732.5909 9.28711 1.04028 1.06706 517.20961 1.050768 2.35102 281.17467999999997 1.5087959999999998 0.497241 35.0578 2.16263 44.77395 10.26516
x14MCx2510 17.29257 1.74236 335.3125 169.05200000000002 3.2314 9.87669 15.47488 3.5168269999999997 6.11207 11.856 2.437312 2.22778 0.93594 380.6976 1.82631 4.190994 29.96439 175.3679 2.96922 2.0703400000000003 20.61807 109.6213 12.91608 117.5096 37.0063 4.01147 1.152004 30.2556 2.38979 13.1214 52.00203 6.866810000000001 8.50385 1.226515 222.50967999999995 185.87348 8.42329 4.3821 20.00218 8.91891 2.61852 1.423895 13.57632 182.154 1.04776 1.7522799999999998 104.18201 21.73923 4.48353 185.10829 17.68299 16.56075 18.91441 15.53968 1.96245 1.043722 3.465621 5.5199 111.08 1.1014700000000002 1.00787 43.5428 1.36822 138.9123 18.0012 3.65947 707.7344 12.52404 0.966753 0.88912 32.088879999999996 1.10131 2.90298 310.8742 4.040690000000001 1.11163 43.286 1.6407599999999998 36.4753 8.76834
