SampleID URINE_V2_Benzoic_acid URINE_V2_Adenosine URINE_V2_Fumaric_acid URINE_V2_Trigonelline URINE_V2_2_Oxoglutaric_acid URINE_V2_2_Furoylglycine URINE_V2_Myo_Inositol URINE_V2_Allantoin URINE_V2_Arginine URINE_V2_1_Methyladenosine URINE_V2_D_Mannose URINE_V2_D_Glucose URINE_V2_Dimethylamine URINE_V2_Formic_acid URINE_V2_Valine URINE_V2_Methionine URINE_V2_Acetic_acid URINE_V2_1_Methylnicotinamide URINE_V2_Pyruvic_acid URINE_V2_Succinic_acid URINE_V2_Glycine URINE_V2_Acetoacetic_acid URINE_V2_Creatine URINE_V2_D_Galactose URINE_V2_4_Aminobutyric_acid URINE_V2_Inosine URINE_V2_N,N_Dimethylglycine URINE_V2_D_Lactose URINE_V2_Taurine URINE_V2_2_Methylsuccinic_acid URINE_V2_Tartaric_acid URINE_V2_1_Methylhistidine URINE_V2_D_Mannitol URINE_V2_Caffeine URINE_V2_Betaine URINE_V2_Alanine URINE_V2_Imidazole URINE_V2_Guanidinoacetic_acid URINE_V2_Allopurinol_Zyloprim URINE_V2_Sarcosine URINE_V2_Lactic_acid URINE_V2_Oxaloacetic_acid URINE_V2_Acetone URINE_V2_3_Hydroxybutyric_acid URINE_V2_Proline_betaine URINE_V2_D_Mandelic_acid URINE_V2_Trimethylamine URINE_V2_Hippuric_acid URINE_V2_Citric_acid NA
x30MCx1266 7.071067811900001 275.7716446628 1.4142135624 37 65.0538238692 27.5771644663 3111.2698372208 12.0208152802 530.3300858899 3.5355339059 4.2426406871 63 21.920310216799997 7.071067811900001 4 12.7279220614 3.5355339059 22.627416998 6.3639610307000005 6 89 9.8994949366 35.3553390593 30.405591591 14.142135623699998 13.4350288425 3.5355339059 67.8822509939 220 33.941125497 3.5355339059 10.6066017178 200 31.8198051534 23 17 33.941125497 70.7106781187 7.071067811900001 1.4142135624 34.6482322781 12.0208152802 10 70.7106781187 39 1.4142135624 1.4142135624 230 79 NA
x13MCx3413 7.071067811900001 275.7716446628 1.4142135624 24.7487373415 65.0538238692 27.5771644663 3111.2698372208 12.0208152802 530.3300858899 3.5355339059 4.2426406871 24.041630560300003 21.920310216799997 7.071067811900001 2 12.7279220614 3.5355339059 22.627416998 6.3639610307000005 3.5355339059 24.041630560300003 9.8994949366 35.3553390593 30.405591591 14.142135623699998 13.4350288425 3.5355339059 67.8822509939 98.9949493661 33.941125497 22 10.6066017178 127.2792206136 31.8198051534 7 18 33.941125497 70.7106781187 7.071067811900001 1.4142135624 34.6482322781 12.0208152802 1.4142135624 70.7106781187 17.6776695297 1.4142135624 1.4142135624 120.2081528017 28.2842712475 NA
x30MCx2605 7.071067811900001 275.7716446628 1.4142135624 61 65.0538238692 27.5771644663 3111.2698372208 12.0208152802 530.3300858899 3.5355339059 4.2426406871 24.041630560300003 35 7.071067811900001 2 12.7279220614 8 22.627416998 6.3639610307000005 3.5355339059 110 9.8994949366 35.3553390593 30.405591591 14.142135623699998 13.4350288425 7 67.8822509939 98.9949493661 33.941125497 3.5355339059 10.6066017178 127.2792206136 31.8198051534 18 22 33.941125497 70.7106781187 7.071067811900001 4 34.6482322781 24 3 70.7106781187 79 1.4142135624 1.4142135624 830 260 NA
x14MCx3258 7.071067811900001 275.7716446628 1.4142135624 24.7487373415 65.0538238692 27.5771644663 3111.2698372208 12.0208152802 530.3300858899 3.5355339059 4.2426406871 46 35 16 4 12.7279220614 6 22.627416998 6.3639610307000005 5 76 14 35.3553390593 30.405591591 14.142135623699998 13.4350288425 16 67.8822509939 98.9949493661 33.941125497 3.5355339059 10.6066017178 127.2792206136 31.8198051534 23 23 33.941125497 70.7106781187 7.071067811900001 1.4142135624 34.6482322781 34 3 70.7106781187 17.6776695297 1.4142135624 1.4142135624 600 390 NA
x10MCx2444 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
x30MCx2082 7.071067811900001 275.7716446628 1.4142135624 41 65.0538238692 27.5771644663 3111.2698372208 12.0208152802 530.3300858899 3.5355339059 4.2426406871 24.041630560300003 21.920310216799997 19 3 12.7279220614 11 22.627416998 6.3639610307000005 8 140 26 35.3553390593 30.405591591 14.142135623699998 13.4350288425 7 67.8822509939 98.9949493661 33.941125497 3.5355339059 10.6066017178 127.2792206136 31.8198051534 31 26 33.941125497 70.7106781187 7.071067811900001 1.4142135624 34.6482322781 73 3 70.7106781187 110 1.4142135624 1.4142135624 540 370 NA
x30MCx3249 7.071067811900001 275.7716446628 4 24.7487373415 65.0538238692 27.5771644663 3111.2698372208 31 530.3300858899 3.5355339059 4.2426406871 410 31 7.071067811900001 4 12.7279220614 5 22.627416998 6.3639610307000005 11 24.041630560300003 9.8994949366 35.3553390593 30.405591591 14.142135623699998 13.4350288425 7 67.8822509939 98.9949493661 33.941125497 14 10.6066017178 127.2792206136 31.8198051534 25 29 33.941125497 70.7106781187 7.071067811900001 1.4142135624 34.6482322781 21 3 70.7106781187 35 1.4142135624 1.4142135624 240 200 NA
x20MCx3389 7.071067811900001 275.7716446628 1.4142135624 24.7487373415 65.0538238692 27.5771644663 3111.2698372208 12.0208152802 530.3300858899 3.5355339059 4.2426406871 35 21.920310216799997 13 4 12.7279220614 3.5355339059 22.627416998 6.3639610307000005 5 91 9.8994949366 35.3553390593 30.405591591 14.142135623699998 13.4350288425 7 67.8822509939 98.9949493661 33.941125497 3.5355339059 10.6066017178 127.2792206136 31.8198051534 21 20 33.941125497 70.7106781187 7.071067811900001 1.4142135624 34.6482322781 12.0208152802 2 70.7106781187 17.6776695297 1.4142135624 1.4142135624 320 130 NA
x20MCx1369 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
x14MCx2510 7.071067811900001 275.7716446628 2 42 65.0538238692 27.5771644663 3111.2698372208 12.0208152802 530.3300858899 3.5355339059 4.2426406871 78 36 7.071067811900001 1.4142135624 12.7279220614 220 22.627416998 11 8 190 22 35.3553390593 30.405591591 14.142135623699998 13.4350288425 8 67.8822509939 98.9949493661 33.941125497 3.5355339059 10.6066017178 127.2792206136 50 10 40 33.941125497 70.7106781187 7.071067811900001 1.4142135624 34.6482322781 73 4 70.7106781187 17.6776695297 1.4142135624 1.4142135624 1500 630 NA
